Sentence,Event
the estimated amount of oil at the alba field is around 320 mln barrels paul spedding of stockbroker kleinwort grieveson and co told reuters,general
he said bat was looking to expand in the area of financial services in particular in the us sheehy also said the group had no sizeable acquisitions in sight in the near future,merger
the company said a merger of rexnord and a subsidiary of banner will be completed before midmay,merger
in the longer term capital expenditure will amount to 10 pct of net sales,earnings
the suit grew out a meeting of several dozen dissatisfied minority stockholders of avia following the announcement of reeboks proposed acquisition of avia and the sudden drop in the price of avia stock,merger
interco ltiss completes laneltlane acquisition interco inc said its shareholders and those of lane co approved a merger of the two companies at special meetings,merger
south koreas leading indicators rise in february south koreas index of leading indicators rose 19 pct to 1729 base 1980 in february after a 08 pct rise in january to stand 172 pct higher than in feburary 1986 provisional economic planning board figures show,general
those who believe the fed tightened policy in the latest statement period have to explain why it acted before the dollar tumbled said mccarthy of merrill lynch,rate_change
japanese firms see overseas acquisitions as a way to avoid the gloomy growth outlook and put their excess cash to work,merger
avon said it identified giorgio more than a year ago as a preferred acquisition candidate,merger
harrowing as well as welltimed applications of nitrogen will be necessary he added,general
it estimated factory and warehouse stocks of inedible tallow on february 28 at 4107 mln lbs vs a revised 3516 mln the previous month and 3619 mln in february 1986,general
metzenbaum said icahn had failed to file a premerger notification form with the ftc prior to purchasing more than 15 mln dlrs worth of usair stock,merger
dart group flexible on supermarkets ltsgl bid ltdart group corp said it told supermarkets general corp ltsgl it was flexible on the price it would pay to acquire the company,merger
continued international currency turbulence could undermine plans for reinforcing the european monetary system the joint float holding eight ec currencies within narrow fluctuation bands which will feature high on the weekend agenda,general
transamerica ltta unit buys reinsurance unit transamerica insurance group the main propertyliability insurance operation of transamerica corp said it signed a definitive agreement to acquire a newlyformed insurer commerical risk underwriters insurance co from ltclarendon group ltd,merger
the company earlier reported 46 pct higher 1986 net profits at 178 billion hk,earnings
conrac says it is mulling restructuring or buyout as alternatives conrac says it is mulling restructuring or buyout as alternatives,merger
sales for all of 1987 are expected to rise about 55 pct to six pct up a bit from 1986s rise,earnings
reebok international limited ltrbk 1st qtr shr 72 cts vs 52 cts net 386 mln vs 25 mln revs 2818 mln vs 1745 mln avg shrs 535 mln vs 482 mln note 1987 1st quarter amounts do not includes sales of avia group international inc acquired at the end of the first quarter,earnings
there has been a flood of large bond issues but with formulas well adapted to market conditions and investor demand with warrants or a mix of fixed and floatingrates which have been snapped up and with generally broadly negative fees,rate_change
us house plan seeks to bar foreign takeovers a house subcommittee voted to give president reagan authority to block foreign takeovers of us companies similar to the takeover of schlumberger ltds ltslb fairchild semiconductor corp by fujitsu ltd which was withdrawn,merger
foreign direct investment in the united states increased 144 billion dlrs in the fourth quarter compared with 56 billion dlrs in the previous quarter because of steppedup acquisitions the department said,merger
under the terms of the offer gulf said it is entitled to receive a supplementary payment if a general offer to acquire imperial continental or its calor group or contibel holdings becomes wholly unconditional before jan 1 1988 at a price above the tender off of 710 pence per share,merger
the 360000 tonnes in the inra buffer stock must be liquidated and a free market returned a malaysian trader said,general
frontier insurance group inc ltfrtr 4th qtr net oper shr 25 cts vs six cts oper net 840000 vs 139000 revs 8290000 vs 4743000 avg shrs 3335029 vs 2400000 year oper shr 97 cts vs 53 cts oper net 2546000 vs 1275000 revs 288 mln vs 185 mln avg shrs 2635665 vs 2400000 note net excludes investment gain four cts shr vs loss six cts in quarter and gain five cts vs loss six cts in year,general
the inflation data compares with market forecasts for a rise of 04 05 pct in february and a yearly rise of about four pct economists said,rate_change
the company later reached an accord under which it would buy 20 pct of the company after kohlberg kravis completed its leveraged buyout of the company,merger
1987 1st quarter revenues include rockport revenues of 31 mln dlrs,earnings
freezing rain was scattered over central colorado by mid morning also over central kansas and northeast illinois,general
the companies will probably follow the saudi wants within limits as they do not want to antagonize them for the long haul he said,general
repeal of the fuel use act a federal law prohibiting the use of natural gas in new manufacturing plants and utilities could increase demand for gas by as much as 15 pct he said,rate_change
champions suit claims that various champion investors alligned themselves with cormier and navon who failed to disclose properly under federal laws that they were acting in concert and they intended to spin off parts of the company and sell the balance within two years once they got control,rate_change
industry commissioner karlheinz narjes has proposed the ending of the quota system by december 1988,general
results include us press inc from november three acquisition,merger
the banks announcement this morning that it was willing to lend twoweek money at 10 pct was interpreted by the market as a sanction for lower uk base lending rates,rate_change
he estimated income would rise to more than 25 mln dlrs in 198687,earnings
he said the united states could face a vicious circle of depreciation inflation and more depreciation if it took that route,rate_change
the funds will be raised through the issue of up to 116 mln ordinary sedgwick shares to the vendors of bsi by no later than 31 january 1991,general
cyclops ltcyl merger approved cyclops corp said shareholders approved a previously announced merger of the company with a subsidiary of dixons group plc,merger
gulf canada ltgoc asserts no damage from spill gulf canada corp said a discharge of material at its amauligak drilling site in the beaufort sea caused no danger to the environment,general
an increase in orders through newly acquired subsidiaries abroad was balanced by the decline in the dollar,merger
it would be suicidal for any government in the context of what happened in the last couple of days to jack up their interest rates he added,rate_change
peripheral said its increased involvement in the development of nucells nuclear battery technology made the merger practical,merger
for the time being the fed is following a neutral path with fed funds at about six to 618 pct said darwin beck of first boston corp i expect it to continue in that vein,rate_change
kuwait rejects iranian spy boat charges kuwait a target of iranian anger over the emirates backing for iraq in the gulf war today rejected charges that fishing vessels seized recently by iran were spy boats,rate_change
mobile home credit was up by 130 mln dlrs after falling by 21 mln dlrs in december,general
ben and jerrys homemade inc ltbjic 4th qtr net shr 10 cts vs two cts net 163832 vs 31063 sales 5434430 vs 3167735 avg shrs 1712231 vs 1533277 year shr 59 cts vs 41 cts net 1016375 vs 550625 sales 197 mln vs 9755018 avg shrs 1710256 vs 1327172,earnings
santos alvite said ecuador will ask opec to allow it to produce 100000 bpd above its quota when the pipeline is repaired to offset present production losses,general
he also told the newspaper he saw no need for largescale intervention in the foreign exchange market because exchange rates are stable,rate_change
a local banker who declined to be named said its basically ridiculous,general
this is the first hard constructive proposal coming out as an alternative to the reagan administrations farm proposal,general
memory protection ltmpdi completes acquisition memory protection devices inc said it completed its acquisition of the assets and liabilities of bogen a division of ltlearsiegler for 9200000 dlrs in cash,merger
he reiterated washingtons firm intention to retaliate if the ec goes ahead and bans imports of hormonefed beef without the issue being investigated by a gatt special committee,rate_change
manufacturing output rose 05 pct in february after a 01 pct increase in january and included gains of 08 pct in durables and 01 pct in nondurables the fed said,rate_change
contel ltctc to buy walker county telephone contel corp said it has agreed in principle to acquire ltwalker county telephone co of lafayette ga for an undisclosed amount of common stock,merger
the company said that in the event of certain triggering events described in the rights plan holders of the rights other than an acquiring person will be entitled to acquire northeasts common shares having a market value of twice the thencurrent exercise price of the rights,merger
a 13g is filed by passive investors to show holdings of more than five pct,general
stifel financial said it received unsolicited merger proposal stifel financial said it received unsolicited merger proposal,merger
occidental ltoxy sells unit to lthenkel kgaa henkel kgaa of dusseldorf west germany said it has completed the acquisition of the process chemicals division of occidental petroleum corps ltoxy occidental chemical corp subsidiary for undisclosed terms,merger
belgian current account surplus widens in 1986 belgiums current account surplus measured on a cash basis widened sharply to 1349 billion francs last year from 175 billion in 1985 the finance ministry said,general
alliedsignal ltald completes unit sales alliedsignal inc said it completed the sale seven businesses in its electronics and instrumentation sector for 18 billion dlrs in cash and in debt assumed by the purchasers,earnings
merrygoround enterprises inc ltmgre 4th qtr jan 31 end shr 51 cts vs 38 cts net 3254000 vs 2423000 sales 659 mln vs 511 mln year shr 118 dlrs vs 115 dlrs net 7485000 vs 7285000 sales 2075 mln vs 1641 mln,earnings
numac said changes introduced by federal and provincial governments during 1986 should help results,rate_change
the company said it acted inview of the proposed acquisition and because certain debt restrictions could block its ability to redeem the rights,merger
the intervention rate was cut from eight pct on march 10 after being raised from 714 pct on january 2 to head off speculative pressure against the franc,general
volkskas bank sees rand hinging on inflation rate south africa must drive down its inflation rate to much lower levels to prevent a further decline in the rand said volkskas bank in its monthly economic review,rate_change
earlier this month the companys occidental fire and casualty co unit paid 26 mln dlrs to a unit of ltmutual of omaha under a commutation agreement,general
these limits are set at 15 billion lire or two pct of the total assets of the parent company of the shareholding bank,general
comdata network ltcdn in new acquisition talks comdata network inc said it is in active talks with other parties on a possible acquisition or recapitalization of comdata in an effort to maximize shareholder values,merger
butterwick told reporters that despite the drop and low freight rates the shipping conference he heads will increase the frequency of sailings to south africa as a very strong act of faith and confidence in the countrys future,rate_change
multifoods ltimc files suit against bregman international multifoods corp said it filed a suit charging bregman partners and its affiliates unlawfully planned to acquire control of the company,merger
waiting period ends on waste managementltwmx bid waste management inc said it received notice of early termination of the hartscottrodino waiting period for its 270 mln dlr takeover bid for chemlawn corp ltchem,merger
at midday the central bank lowered its money market dealing rates by the same amount,rate_change
hata speaking at the first session of the twoday meeting said agriculture is no exception to the goal of restructuring the economy but did not elaborate,general
westinghouse interested in merger of radio unit westinghouse electric corp ltwx said it is still open to a merger of its radio operations with general electrics cos ltge nbc radio operations,merger
citing the costs recently imposed by the federal government through the 1986 tax code changes and superfund legislation simon called for the repeal of the windfall profits tax total decontrol of natural gas and improved access to federal lands for oil and gas exploration,earnings
united telecom ltut reports us sprint loss united telecommunications inc said its lower first quarter earnings included a loss of 63055000 dlrs from its equity in us sprint,earnings
it said the acquisition is subject to approval by fox shareholders and is expected to close in mid august,merger
public authority borrowing in 1988 may also rise owing to increases in the second phase of bonns tax reform package,general
company officials were unavailable for comment as to why the american stock exchange had stopped trading in clarostats stock for a pending news announcement,general
all previously announced conditions regarding the lending group led by manufacturers hanover remain in effect except that the loans are subject to the concurrent receipt by cyacq of equity contributions and other financing of not less than 2105 mln dlrs for the tender offer facility and 2135 mln dlrs for the merger facility,merger
nwa inc 4th qtr shr profit 45 cts vs loss nine cts nwa inc 4th qtr shr profit 45 cts vs loss nine cts,earnings
during the last week of april silver futures often traded at the daily allowable limit amid concerns about inflation the dollar and other factors,rate_change
firms cable and wireless plc ltcawll and the pacific telesis group ltpacn may take part in a proposed merger of two rival firms seeking to enter japans international telecommunications market a senior industry official said,merger
cal fed income ltcfi buys two shopping centers cal fed income partners lp said it has acquired two shopping centers for a total price of 184 mln dlrs,earnings
hk bank expected to post 10 to 13 pct profit rise the hongkong and shanghai banking corp lthkbhhk is likely to show a rise in profit of between 10 and 13 pct for 1986 reflecting stronger than expected loan growth share analysts polled by reuters said,earnings
it said it will retain a seat on the new london board,general
feds johnson urges stronger allied growth federal reserve board vice chairman manuel johnson said that the uss main industrial partners should expand their domestic growth,rate_change
the company said revenue gains in electronics major appliances and other lines were offset by decreases in energy services and aircraft products,earnings
volkswagen dividend unchanged on 1986 dividend on 1986 business unchanged at 10 marks per ordinary share,general
a relatively steady interest rate climate reduced volume in the most active contract treasury bond futures by 175 pct from a year ago to 4307645 contracts,rate_change
it also will be faced with an expensive but necessary updating of its aging fleet of 111 aircraft,general
at current vodka prices of 10 roubles a bottle it said this meant illicit alcohol consumption had reached the equivalent of 20 billion roubles a year or annual revenues from vodka sales before the may 1985 antialchohol decree,earnings
as usual the bank did not detail total operating profits,earnings
house of fabrics now operates 703 stores,rate_change
sosnoff also informed the sec that caesars had offered to buyout his holdings several times during the past year,merger
he also reaffirmed that amoco would reinvest in amoco canadadome properties all available cash flow for five years after the acquisition,merger
revenues declined to 7202 mln dlrs from 7936 mln dlrs,earnings
indonesia relied on oil and gas exports for 70 pct of its export revenue until last years fall in crude prices,earnings
the company said the aggregate purchase price it paid for robert half international and the franchises was about 59 mln dlrs,general
the bundesbank could hold down money market rates with the highly effective instrument of sale and repurchase transactions it said,rate_change
fiscal policy has become gradually more expansionary but simply raising government spending and increasing the budget deficit is an inflationary form of stimulation said rob lee chief economist at south african mutual life assurance co south africa this year is targeting inflationadjusted growth in gdp of three pct against an increase last year of less than one pct,rate_change
the cocoa will be priced according to a fixed set of differentials ranging from 137 stg for most expensive ghana cocoa to zero for malaysian cocoa,general
the relative failure of recent intervention stands in sharp contrast to the success that central banks scored when they joined forces to drive the dollar down following the september 22 1985 plaza accord,rate_change
rebates requested ranged from 12775 to 13250 european currency units a tonne for maize 13600 to 14100 ecus a tonne for barley and 13425 to 14181 ecus for bread wheat while rebates requested for feed wheat were 13765 ecus they said,general
on an annual basis this put m0 growth at four to 412 pct in the middle of the 1987 target of two to six pct,general
pantasote inc ltpnt 4th qtr loss oper shr loss four cts vs loss 33 cts oper net loss 154000 vs loss 1301000 sales 300 mln vs 270 mln year oper shr profit 60 cts vs loss 16 cts oper net profit 2364000 vs loss 608000 sales 1135 mln vs 1328 mln note net excludes extraordinary charges from provision for roofing products warranties and costs from sale of printinglaminate division of 320000 dlrs vs 103 mln dlrs in quarter and 43200000 dlrs vs 127 mln dlrs in year,earnings
corporate earnings will grow further in the first half of fiscal 1987 rising an estimated 107 pct it added,earnings
and senate agriculture committee chairman patrick leahy dvt the groups issued a statement saying lawmakers should resist efforts to overhaul the 15monthold law which is operating in its first crop marketing year,general
this compares with the banks present band one dealing rate of 1038 pct,general
pearson concentrates on four sectors pearson plc ltpsonl said the recent sale of its fairey engineering companies in a 515 mln stg management buyout was part of its policy of concentrating on four key sectors,merger
ionic a maker of circuit boards had revenues of 84 mln dlrs and pretax profits of 232000 dlrs in 1986 up from revenues of 59 mln and pretax profits of 204000 dlrs in 1985 circuit systems said,earnings
dyr said it expects its stock to be withdrawn from registration under the securities exchange act of 1934 shortly after april 14,general
but the volume of savings funds may not be substantially undercut by lower savings rates because many customers are parking funds in savings accounts in the hope they can reinvest them at higher yields in the future he said,rate_change
he also said federal reserve policy is appropriate adding it looks like theyre on track,rate_change
usda estimates soviet wheat coarse grains the us agriculture department forecast the soviet 198687 wheat crop at 9230 mln tonnes vs 9230 mln tonnes last month,general
fhlbb says mortgage rates continue decline the federal home loan bank board said home mortgage rates fell from early february to early march to their lowest point in nine years but the rate of decline was slower than it had been in recent months,rate_change
in an administrative complaint the sec said allied and its legal adviser failed to promptly inform shareholders and the agency that it had begun talks with youngstown ohio shopping center developer edward debartolo in response to campeaus takeover offer,merger
a third arbitrageur noted mark iv had been involved in several takeovers previously and has proven itself to be a determined bidder,merger
ldbrinkman corp ltldbc 2nd qtr jan 31 loss shr loss seven cts vs profit 12 cts net loss 662000 vs profit 1520000 revs 591 mln vs 631 mln six mths shr profit 23 cts vs profit 20 cts net profit 2802000 vs profit 2543000 revs 1385 mln vs 1267 mln,earnings
mountain states ltmtsr addes two properties mountain states resources corp said it acquired two properties to its strategic minerals holdings,merger
general electric ltge 1st qtr helped by rca general electric corp said its first quarter results were significantly higher due to the strong results of rca which was acquired last year,merger
the application which was approved unanimously will not eliminate sears savings as a competitor the fed said,rate_change
and while many manufacturing firms turned to financial market investments for profits during last years economic downturn the recent rebound has allowed them to refocus their attention on their core businesses he said,earnings
talman home federal savings and loan association chicago is full name of company,rate_change
graff said we invested heavily in 1986 which we believe will result in higher future growth and earnings for the company,earnings
federal funds opened at 638 pct and eased to 6516 pct in early trading,rate_change
allied supermarkets ltasu files proposed merger allied supermarkets inc said it filed a registration statement with the securities and exchange commission for a proposed merger with ltthe vons companies a supermarket combination store operator,merger
enseco inc ltncco 4th qtr loss oper shr loss six cts vs profit seven cts oper net loss 481517 vs profit 487432 revs 7492686 vs 5575043 avg shrs 85 mln vs 72 mln year oper shr loss six cts vs profit 34 cts oper net loss 465043 vs profit 2283811 revs 295 mln vs 198 mln avg shrs 78 mln vs 67 mln note excludes extraordinary credit of four cts a share in fourth quarter 1986 and 15 cts in year,earnings
we are not politically motivated funding was just becoming too expensive and we dont need all that money he told reuters adding the department had suspended issues at least twice in the past when offered interest rates were above or below market rates,rate_change
she said market forces have a major influence on exchange rates and said she did not know the right value for the dollar against the yen or the mark,rate_change
bankers said this could foreshadow a revival of the 1986 war of words between the us and west germany in which us officials talked down the dollar to force west germany to stimulate its economy and thus suck in more us exports,general
late last year the gevaert group of belgium and west germanys veba ag ltvebgf said they had each acquired a 125 pct stake in hapaglloyd from deutsche bank ag ltdbkgf and dresdner bank ag ltdrsdf,merger
that rate has remained in force just holding above the five pct official secured loans rate which governs commercial bank borrowings,general
bank fuer gemeinwirtschaft ag ltbkfgf cut rates 05 pct generally,rate_change
money supply rose at an annualised rate of 167 pct last month against 81 pct in january,general
arvin ltarv ses flat 1st qtr results arvin industries inc said higher interest costs from borrowings to make acquisitions will produce earnings flat with last years 59 cts a share results,earnings
guardianmorton said the takeover bid will be conditional on sarlos acquiring at least 90 pct of the special shares and 90 pct of the series ii warrants when combined the number of special shares and warrants owned by the offeror at the time of the bid,merger
prior quarter and nine month per share figures not applicable because company began operations in october 1986 with the acquisition of gould incs ltgld medical products group,merger
the company also said along with local landowners and investors it will acquire 33acre tract northtowne meadows in the toledo ohio area for development into 160 home sites and three acres of commercial land,merger
the oecd called for efforts to liberalize world agricultural markets through switching farm subsidies away from price guarantees and other measures linked to production towards direct income support for farmers,earnings
brooks also told a press conference that if management is successful it may later attempt to take the company public,general
canton telephone serves about 2900 access lines in northwestern pennsylvania and had 1986 operating revenues of about 1300000 dlrs rochester telephone said,earnings
in todays statement metal traders also said it is reviewing possible acquisition of a mineral producer,merger
baker international corp sues hughes tool seeking merger completion baker international corp sues hughes tool seeking merger completion,merger
the recent stability would last until markets decided to test the resolve of central banks he said,rate_change
pesch unit seeks balance of republic health alpha health systems corp a whollyowned subsidiary of pesch and co said it submitted a merger proposal to the board of reph acquisition co the parent company of republic health corp which is 64 pct owned by pesch interests,merger
yeutter said if nations do the right kinds of things in financial monetary and tax policies then a lesser burden of adjustment is placed on exchange rates and one could envision a situation of the major trading nations moving back far closer to what most of us would consider equilibrium and exchange rates becoming relatively stable,rate_change
ammeen who had worked for burlington for 23 years had as many as 12 divisions with 50 pct of burlingtons sales reporting to him,earnings
aep industries inc ltaepio 2nd qtr april 30 shr 21 cts vs 11 cts net 638000 vs 340000 sales 169 mln vs 147 mln avg shrs 3007048 vs 3006250 1st half shr 41 cts vs 41 cts net 1224000 vs 1142000 sales 311 mln vs 298 mln avg shrs 3006704 vs 2757631 note current year net both periods includes nonrecurring gain 213000 dlrs,earnings
an important exception would be its securities business which would grow more slowly,general
fed data suggest no change in monetary policy new us banking data suggest the federal reserve is guiding monetary policy along a steady path and is not signalling any imminent change of course economists said,rate_change
although the group characterized its cardis stock holdings as principally for investment it said it intends to contact third parties who might be interested in an acquisition of cardis a los angelesbased auto parts distributor,merger
projected expenditure in the 198586 budget had been 156 billion riyals,general
but he said the size of the cuts under consideration were not enough to give the federal reserve board the flexibility it needs to steer the economy or to keep the value of the dollar from plunging further in world exchange markets,rate_change
the imf limit is obviously going to be abandoned predicted one analyst noting that south africa has moved steadily away from austerity measures recommended by the imf over the past two years,general
the companies said the suit asks a jacksonville fla federal district court to enjoin the enforcement of an interpretive rule adopted by the fhlbb last year which seeks to give it jurisdiction over barnetts proposed acquisition of home,merger
termiflex corp lttflxo 1st qtr sept 30 net shr five cts vs seven cts net 64652 vs 96157 sales 1205321 vs 1499591 note backlog three mln dlrs vs 2600000 as of june 30 1987,earnings
regency also reported 1986 earnings of 5695000 dlrs or 37 cts a share on revenues of 409 mln dlrs,earnings
nigeria changes auction rules to defend the naira nigerias central bank has changed the rules governing its foreign exchange auctions in what analysts see as a means of defending the naira currency which has depreciated steadily,rate_change
the merger still requires shareholder approval,merger
stanley interiors ltsthf says results reduced stanley interiors corp said its first quarter shipments and operating income were lower than expected due to snowstorms in january and february that forced the closing of some of its manufacturing facilities for up to six days,earnings
